category,diagnosis_code,full_code,partial_description,full_description
C96Z,,C96Z,"Oth malig neoplm of lymphoid, hematpoetc and related tissue","Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C969,,C969,"Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp","Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
D000,0,D0000,"Carcinoma in situ of oral cavity, unspecified site","Carcinoma in situ of oral cavity, unspecified site"
D000,1,D0001,Carcinoma in situ of labial mucosa and vermilion border,Carcinoma in situ of labial mucosa and vermilion border
D000,2,D0002,Carcinoma in situ of buccal mucosa,Carcinoma in situ of buccal mucosa
D000,3,D0003,Carcinoma in situ of gingiva and edentulous alveolar ridge,Carcinoma in situ of gingiva and edentulous alveolar ridge
D000,4,D0004,Carcinoma in situ of soft palate,Carcinoma in situ of soft palate
D000,5,D0005,Carcinoma in situ of hard palate,Carcinoma in situ of hard palate
D000,6,D0006,Carcinoma in situ of floor of mouth,Carcinoma in situ of floor of mouth
D000,7,D0007,Carcinoma in situ of tongue,Carcinoma in situ of tongue
D000,8,D0008,Carcinoma in situ of pharynx,Carcinoma in situ of pharynx
D001,,D001,Carcinoma in situ of esophagus,Carcinoma in situ of esophagus
D002,,D002,Carcinoma in situ of stomach,Carcinoma in situ of stomach
D01,0,D010,Carcinoma in situ of colon,Carcinoma in situ of colon
D01,1,D011,Carcinoma in situ of rectosigmoid junction,Carcinoma in situ of rectosigmoid junction
D01,2,D012,Carcinoma in situ of rectum,Carcinoma in situ of rectum
D01,3,D013,Carcinoma in situ of anus and anal canal,Carcinoma in situ of anus and anal canal
D014,0,D0140,Carcinoma in situ of unspecified part of intestine,Carcinoma in situ of unspecified part of intestine
D014,9,D0149,Carcinoma in situ of other parts of intestine,Carcinoma in situ of other parts of intestine
D015,,D015,"Carcinoma in situ of liver, gallbladder and bile ducts","Carcinoma in situ of liver, gallbladder and bile ducts"
D017,,D017,Carcinoma in situ of other specified digestive organs,Carcinoma in situ of other specified digestive organs
D019,,D019,"Carcinoma in situ of digestive organ, unspecified","Carcinoma in situ of digestive organ, unspecified"
D02,0,D020,Carcinoma in situ of larynx,Carcinoma in situ of larynx
D02,1,D021,Carcinoma in situ of trachea,Carcinoma in situ of trachea
D022,0,D0220,Carcinoma in situ of unspecified bronchus and lung,Carcinoma in situ of unspecified bronchus and lung
D022,1,D0221,Carcinoma in situ of right bronchus and lung,Carcinoma in situ of right bronchus and lung
D022,2,D0222,Carcinoma in situ of left bronchus and lung,Carcinoma in situ of left bronchus and lung
D023,,D023,Carcinoma in situ of other parts of respiratory system,Carcinoma in situ of other parts of respiratory system
D024,,D024,"Carcinoma in situ of respiratory system, unspecified","Carcinoma in situ of respiratory system, unspecified"
D03,0,D030,Melanoma in situ of lip,Melanoma in situ of lip
D031,0,D0310,"Melanoma in situ of unspecified eyelid, including canthus","Melanoma in situ of unspecified eyelid, including canthus"
D031,1,D0311,"Melanoma in situ of right eyelid, including canthus","Melanoma in situ of right eyelid, including canthus"
D031,2,D0312,"Melanoma in situ of left eyelid, including canthus","Melanoma in situ of left eyelid, including canthus"
D032,0,D0320,Melanoma in situ of unsp ear and external auricular canal,Melanoma in situ of unspecified ear and external auricular canal
D032,1,D0321,Melanoma in situ of right ear and external auricular canal,Melanoma in situ of right ear and external auricular canal
D032,2,D0322,Melanoma in situ of left ear and external auricular canal,Melanoma in situ of left ear and external auricular canal
D033,0,D0330,Melanoma in situ of unspecified part of face,Melanoma in situ of unspecified part of face
D033,9,D0339,Melanoma in situ of other parts of face,Melanoma in situ of other parts of face
D034,,D034,Melanoma in situ of scalp and neck,Melanoma in situ of scalp and neck
D035,1,D0351,Melanoma in situ of anal skin,Melanoma in situ of anal skin
D035,2,D0352,Melanoma in situ of breast (skin) (soft tissue),Melanoma in situ of breast (skin) (soft tissue)
D035,9,D0359,Melanoma in situ of other part of trunk,Melanoma in situ of other part of trunk
D036,0,D0360,"Melanoma in situ of unsp upper limb, including shoulder","Melanoma in situ of unspecified upper limb, including shoulder"
D036,1,D0361,"Melanoma in situ of right upper limb, including shoulder","Melanoma in situ of right upper limb, including shoulder"
D036,2,D0362,"Melanoma in situ of left upper limb, including shoulder","Melanoma in situ of left upper limb, including shoulder"
D037,0,D0370,"Melanoma in situ of unspecified lower limb, including hip","Melanoma in situ of unspecified lower limb, including hip"
D037,1,D0371,"Melanoma in situ of right lower limb, including hip","Melanoma in situ of right lower limb, including hip"
D037,2,D0372,"Melanoma in situ of left lower limb, including hip","Melanoma in situ of left lower limb, including hip"
D038,,D038,Melanoma in situ of other sites,Melanoma in situ of other sites
D039,,D039,"Melanoma in situ, unspecified","Melanoma in situ, unspecified"
D04,0,D040,Carcinoma in situ of skin of lip,Carcinoma in situ of skin of lip
D041,0,D0410,"Carcinoma in situ of skin of unsp eyelid, including canthus","Carcinoma in situ of skin of unspecified eyelid, including canthus"
D041,1,D0411,"Carcinoma in situ of skin of right eyelid, including canthus","Carcinoma in situ of skin of right eyelid, including canthus"
D041,2,D0412,"Carcinoma in situ of skin of left eyelid, including canthus","Carcinoma in situ of skin of left eyelid, including canthus"
D042,0,D0420,Ca in situ skin of unsp ear and external auricular canal,Carcinoma in situ of skin of unspecified ear and external auricular canal
D042,1,D0421,Ca in situ skin of right ear and external auricular canal,Carcinoma in situ of skin of right ear and external auricular canal
D042,2,D0422,Ca in situ skin of left ear and external auricular canal,Carcinoma in situ of skin of left ear and external auricular canal
D043,0,D0430,Carcinoma in situ of skin of unspecified part of face,Carcinoma in situ of skin of unspecified part of face
D043,9,D0439,Carcinoma in situ of skin of other parts of face,Carcinoma in situ of skin of other parts of face
D044,,D044,Carcinoma in situ of skin of scalp and neck,Carcinoma in situ of skin of scalp and neck
D045,,D045,Carcinoma in situ of skin of trunk,Carcinoma in situ of skin of trunk
D046,0,D0460,"Ca in situ skin of unsp upper limb, including shoulder","Carcinoma in situ of skin of unspecified upper limb, including shoulder"
D046,1,D0461,"Ca in situ skin of right upper limb, including shoulder","Carcinoma in situ of skin of right upper limb, including shoulder"
D046,2,D0462,"Ca in situ skin of left upper limb, including shoulder","Carcinoma in situ of skin of left upper limb, including shoulder"
D047,0,D0470,"Carcinoma in situ of skin of unsp lower limb, including hip","Carcinoma in situ of skin of unspecified lower limb, including hip"
D047,1,D0471,"Carcinoma in situ of skin of right lower limb, including hip","Carcinoma in situ of skin of right lower limb, including hip"
D047,2,D0472,"Carcinoma in situ of skin of left lower limb, including hip","Carcinoma in situ of skin of left lower limb, including hip"
D048,,D048,Carcinoma in situ of skin of other sites,Carcinoma in situ of skin of other sites
D049,,D049,"Carcinoma in situ of skin, unspecified","Carcinoma in situ of skin, unspecified"
D050,0,D0500,Lobular carcinoma in situ of unspecified breast,Lobular carcinoma in situ of unspecified breast
D050,1,D0501,Lobular carcinoma in situ of right breast,Lobular carcinoma in situ of right breast
D050,2,D0502,Lobular carcinoma in situ of left breast,Lobular carcinoma in situ of left breast
D051,0,D0510,Intraductal carcinoma in situ of unspecified breast,Intraductal carcinoma in situ of unspecified breast
D051,1,D0511,Intraductal carcinoma in situ of right breast,Intraductal carcinoma in situ of right breast
D051,2,D0512,Intraductal carcinoma in situ of left breast,Intraductal carcinoma in situ of left breast
D058,0,D0580,Oth type of carcinoma in situ of unspecified breast,Other specified type of carcinoma in situ of unspecified breast
D058,1,D0581,Other specified type of carcinoma in situ of right breast,Other specified type of carcinoma in situ of right breast
D058,2,D0582,Other specified type of carcinoma in situ of left breast,Other specified type of carcinoma in situ of left breast
D059,0,D0590,Unspecified type of carcinoma in situ of unspecified breast,Unspecified type of carcinoma in situ of unspecified breast
D059,1,D0591,Unspecified type of carcinoma in situ of right breast,Unspecified type of carcinoma in situ of right breast
D059,2,D0592,Unspecified type of carcinoma in situ of left breast,Unspecified type of carcinoma in situ of left breast
D06,0,D060,Carcinoma in situ of endocervix,Carcinoma in situ of endocervix
D06,1,D061,Carcinoma in situ of exocervix,Carcinoma in situ of exocervix
D06,7,D067,Carcinoma in situ of other parts of cervix,Carcinoma in situ of other parts of cervix
D06,9,D069,"Carcinoma in situ of cervix, unspecified","Carcinoma in situ of cervix, unspecified"
D07,0,D070,Carcinoma in situ of endometrium,Carcinoma in situ of endometrium
D07,1,D071,Carcinoma in situ of vulva,Carcinoma in situ of vulva
D07,2,D072,Carcinoma in situ of vagina,Carcinoma in situ of vagina
D073,0,D0730,Carcinoma in situ of unspecified female genital organs,Carcinoma in situ of unspecified female genital organs
D073,9,D0739,Carcinoma in situ of other female genital organs,Carcinoma in situ of other female genital organs
D074,,D074,Carcinoma in situ of penis,Carcinoma in situ of penis
D075,,D075,Carcinoma in situ of prostate,Carcinoma in situ of prostate
D076,0,D0760,Carcinoma in situ of unspecified male genital organs,Carcinoma in situ of unspecified male genital organs
D076,1,D0761,Carcinoma in situ of scrotum,Carcinoma in situ of scrotum
D076,9,D0769,Carcinoma in situ of other male genital organs,Carcinoma in situ of other male genital organs
D09,0,D090,Carcinoma in situ of bladder,Carcinoma in situ of bladder
D091,0,D0910,Carcinoma in situ of unspecified urinary organ,Carcinoma in situ of unspecified urinary organ
D091,9,D0919,Carcinoma in situ of other urinary organs,Carcinoma in situ of other urinary organs
D092,0,D0920,Carcinoma in situ of unspecified eye,Carcinoma in situ of unspecified eye
D092,1,D0921,Carcinoma in situ of right eye,Carcinoma in situ of right eye
D092,2,D0922,Carcinoma in situ of left eye,Carcinoma in situ of left eye
D093,,D093,Carcinoma in situ of thyroid and other endocrine glands,Carcinoma in situ of thyroid and other endocrine glands
D098,,D098,Carcinoma in situ of other specified sites,Carcinoma in situ of other specified sites
D099,,D099,"Carcinoma in situ, unspecified","Carcinoma in situ, unspecified"
D10,0,D100,Benign neoplasm of lip,Benign neoplasm of lip
D10,1,D101,Benign neoplasm of tongue,Benign neoplasm of tongue
D10,2,D102,Benign neoplasm of floor of mouth,Benign neoplasm of floor of mouth
D103,0,D1030,Benign neoplasm of unspecified part of mouth,Benign neoplasm of unspecified part of mouth
D103,9,D1039,Benign neoplasm of other parts of mouth,Benign neoplasm of other parts of mouth
D104,,D104,Benign neoplasm of tonsil,Benign neoplasm of tonsil
D105,,D105,Benign neoplasm of other parts of oropharynx,Benign neoplasm of other parts of oropharynx
D106,,D106,Benign neoplasm of nasopharynx,Benign neoplasm of nasopharynx
D107,,D107,Benign neoplasm of hypopharynx,Benign neoplasm of hypopharynx
D109,,D109,"Benign neoplasm of pharynx, unspecified","Benign neoplasm of pharynx, unspecified"
D11,0,D110,Benign neoplasm of parotid gland,Benign neoplasm of parotid gland
D11,7,D117,Benign neoplasm of other major salivary glands,Benign neoplasm of other major salivary glands
D11,9,D119,"Benign neoplasm of major salivary gland, unspecified","Benign neoplasm of major salivary gland, unspecified"
D12,0,D120,Benign neoplasm of cecum,Benign neoplasm of cecum
D12,1,D121,Benign neoplasm of appendix,Benign neoplasm of appendix
D12,2,D122,Benign neoplasm of ascending colon,Benign neoplasm of ascending colon
D12,3,D123,Benign neoplasm of transverse colon,Benign neoplasm of transverse colon
D12,4,D124,Benign neoplasm of descending colon,Benign neoplasm of descending colon
D12,5,D125,Benign neoplasm of sigmoid colon,Benign neoplasm of sigmoid colon
D12,6,D126,"Benign neoplasm of colon, unspecified","Benign neoplasm of colon, unspecified"
D12,7,D127,Benign neoplasm of rectosigmoid junction,Benign neoplasm of rectosigmoid junction
D12,8,D128,Benign neoplasm of rectum,Benign neoplasm of rectum
D12,9,D129,Benign neoplasm of anus and anal canal,Benign neoplasm of anus and anal canal
D13,0,D130,Benign neoplasm of esophagus,Benign neoplasm of esophagus
D13,1,D131,Benign neoplasm of stomach,Benign neoplasm of stomach
D13,2,D132,Benign neoplasm of duodenum,Benign neoplasm of duodenum
D133,0,D1330,Benign neoplasm of unspecified part of small intestine,Benign neoplasm of unspecified part of small intestine
D133,9,D1339,Benign neoplasm of other parts of small intestine,Benign neoplasm of other parts of small intestine
D134,,D134,Benign neoplasm of liver,Benign neoplasm of liver
D135,,D135,Benign neoplasm of extrahepatic bile ducts,Benign neoplasm of extrahepatic bile ducts
D136,,D136,Benign neoplasm of pancreas,Benign neoplasm of pancreas
D137,,D137,Benign neoplasm of endocrine pancreas,Benign neoplasm of endocrine pancreas
D139,,D139,Benign neoplasm of ill-defined sites within the dgstv sys,Benign neoplasm of ill-defined sites within the digestive system
D14,0,D140,"Benign neoplasm of mid ear, nasl cav and accessory sinuses","Benign neoplasm of middle ear, nasal cavity and accessory sinuses"
D14,1,D141,Benign neoplasm of larynx,Benign neoplasm of larynx
D14,2,D142,Benign neoplasm of trachea,Benign neoplasm of trachea
D143,0,D1430,Benign neoplasm of unspecified bronchus and lung,Benign neoplasm of unspecified bronchus and lung
D143,1,D1431,Benign neoplasm of right bronchus and lung,Benign neoplasm of right bronchus and lung
D143,2,D1432,Benign neoplasm of left bronchus and lung,Benign neoplasm of left bronchus and lung
D144,,D144,"Benign neoplasm of respiratory system, unspecified","Benign neoplasm of respiratory system, unspecified"
D15,0,D150,Benign neoplasm of thymus,Benign neoplasm of thymus
D15,1,D151,Benign neoplasm of heart,Benign neoplasm of heart
D15,2,D152,Benign neoplasm of mediastinum,Benign neoplasm of mediastinum
D15,7,D157,Benign neoplasm of other specified intrathoracic organs,Benign neoplasm of other specified intrathoracic organs
D15,9,D159,"Benign neoplasm of intrathoracic organ, unspecified","Benign neoplasm of intrathoracic organ, unspecified"
D160,0,D1600,Benign neoplasm of scapula and long bones of unsp upper limb,Benign neoplasm of scapula and long bones of unspecified upper limb
D160,1,D1601,Benign neoplm of scapula and long bones of right upper limb,Benign neoplasm of scapula and long bones of right upper limb
D160,2,D1602,Benign neoplasm of scapula and long bones of left upper limb,Benign neoplasm of scapula and long bones of left upper limb
D161,0,D1610,Benign neoplasm of short bones of unspecified upper limb,Benign neoplasm of short bones of unspecified upper limb
D161,1,D1611,Benign neoplasm of short bones of right upper limb,Benign neoplasm of short bones of right upper limb
D161,2,D1612,Benign neoplasm of short bones of left upper limb,Benign neoplasm of short bones of left upper limb
D162,0,D1620,Benign neoplasm of long bones of unspecified lower limb,Benign neoplasm of long bones of unspecified lower limb
D162,1,D1621,Benign neoplasm of long bones of right lower limb,Benign neoplasm of long bones of right lower limb
D162,2,D1622,Benign neoplasm of long bones of left lower limb,Benign neoplasm of long bones of left lower limb
D163,0,D1630,Benign neoplasm of short bones of unspecified lower limb,Benign neoplasm of short bones of unspecified lower limb
D163,1,D1631,Benign neoplasm of short bones of right lower limb,Benign neoplasm of short bones of right lower limb
D163,2,D1632,Benign neoplasm of short bones of left lower limb,Benign neoplasm of short bones of left lower limb
D164,,D164,Benign neoplasm of bones of skull and face,Benign neoplasm of bones of skull and face
D165,,D165,Benign neoplasm of lower jaw bone,Benign neoplasm of lower jaw bone
D166,,D166,Benign neoplasm of vertebral column,Benign neoplasm of vertebral column
D167,,D167,"Benign neoplasm of ribs, sternum and clavicle","Benign neoplasm of ribs, sternum and clavicle"
D168,,D168,"Benign neoplasm of pelvic bones, sacrum and coccyx","Benign neoplasm of pelvic bones, sacrum and coccyx"
D169,,D169,"Benign neoplasm of bone and articular cartilage, unspecified","Benign neoplasm of bone and articular cartilage, unspecified"
D17,0,D170,"Ben lipomatous neoplm of skin, subcu of head, face and neck","Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
D17,1,D171,"Benign lipomatous neoplasm of skin, subcu of trunk",Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
D172,0,D1720,"Benign lipomatous neoplasm of skin, subcu of unsp limb",Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb
D172,1,D1721,"Benign lipomatous neoplasm of skin, subcu of right arm",Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm
D172,2,D1722,"Benign lipomatous neoplasm of skin, subcu of left arm",Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm
D172,3,D1723,"Benign lipomatous neoplasm of skin, subcu of right leg",Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg
D172,4,D1724,"Benign lipomatous neoplasm of skin, subcu of left leg",Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg
D173,0,D1730,"Benign lipomatous neoplasm of skin, subcu of unsp sites",Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites
D173,9,D1739,"Benign lipomatous neoplasm of skin, subcu of sites",Benign lipomatous neoplasm of skin and subcutaneous tissue of other sites
D174,,D174,Benign lipomatous neoplasm of intrathoracic organs,Benign lipomatous neoplasm of intrathoracic organs
D175,,D175,Benign lipomatous neoplasm of intra-abdominal organs,Benign lipomatous neoplasm of intra-abdominal organs
D176,,D176,Benign lipomatous neoplasm of spermatic cord,Benign lipomatous neoplasm of spermatic cord
D177,1,D1771,Benign lipomatous neoplasm of kidney,Benign lipomatous neoplasm of kidney
D177,2,D1772,Benign lipomatous neoplasm of other genitourinary organ,Benign lipomatous neoplasm of other genitourinary organ
D177,9,D1779,Benign lipomatous neoplasm of other sites,Benign lipomatous neoplasm of other sites
D179,,D179,"Benign lipomatous neoplasm, unspecified","Benign lipomatous neoplasm, unspecified"
D180,0,D1800,Hemangioma unspecified site,Hemangioma unspecified site
D180,1,D1801,Hemangioma of skin and subcutaneous tissue,Hemangioma of skin and subcutaneous tissue
D180,2,D1802,Hemangioma of intracranial structures,Hemangioma of intracranial structures
D180,3,D1803,Hemangioma of intra-abdominal structures,Hemangioma of intra-abdominal structures
D180,9,D1809,Hemangioma of other sites,Hemangioma of other sites
D181,,D181,"Lymphangioma, any site","Lymphangioma, any site"
D19,0,D190,Benign neoplasm of mesothelial tissue of pleura,Benign neoplasm of mesothelial tissue of pleura
D19,1,D191,Benign neoplasm of mesothelial tissue of peritoneum,Benign neoplasm of mesothelial tissue of peritoneum
D19,7,D197,Benign neoplasm of mesothelial tissue of other sites,Benign neoplasm of mesothelial tissue of other sites
D19,9,D199,"Benign neoplasm of mesothelial tissue, unspecified","Benign neoplasm of mesothelial tissue, unspecified"
D20,0,D200,Benign neoplasm of soft tissue of retroperitoneum,Benign neoplasm of soft tissue of retroperitoneum
D20,1,D201,Benign neoplasm of soft tissue of peritoneum,Benign neoplasm of soft tissue of peritoneum
D21,0,D210,"Benign neoplasm of connctv/soft tiss of head, face and neck","Benign neoplasm of connective and other soft tissue of head, face and neck"
D211,0,D2110,"Ben neoplm of connctv/soft tiss of unsp upr limb, inc shldr","Benign neoplasm of connective and other soft tissue of unspecified upper limb, including shoulder"
D211,1,D2111,"Ben neoplm of connctv/soft tiss of r upper limb, inc shldr","Benign neoplasm of connective and other soft tissue of right upper limb, including shoulder"
D211,2,D2112,"Ben neoplm of connctv/soft tiss of left upr limb, inc shldr","Benign neoplasm of connective and other soft tissue of left upper limb, including shoulder"
D212,0,D2120,"Ben neoplm of connctv/soft tiss of unsp lower limb, inc hip","Benign neoplasm of connective and other soft tissue of unspecified lower limb, including hip"
D212,1,D2121,"Ben neoplm of connctv/soft tiss of right lower limb, inc hip","Benign neoplasm of connective and other soft tissue of right lower limb, including hip"
D212,2,D2122,"Ben neoplm of connctv/soft tiss of left lower limb, inc hip","Benign neoplasm of connective and other soft tissue of left lower limb, including hip"
D213,,D213,Benign neoplasm of connective and oth soft tissue of thorax,Benign neoplasm of connective and other soft tissue of thorax
D214,,D214,Benign neoplasm of connective and oth soft tissue of abdomen,Benign neoplasm of connective and other soft tissue of abdomen
D215,,D215,Benign neoplasm of connective and oth soft tissue of pelvis,Benign neoplasm of connective and other soft tissue of pelvis
D216,,D216,"Benign neoplasm of connctv/soft tiss of trunk, unsp","Benign neoplasm of connective and other soft tissue of trunk, unspecified"
D219,,D219,"Benign neoplasm of connective and other soft tissue, unsp","Benign neoplasm of connective and other soft tissue, unspecified"
D22,0,D220,Melanocytic nevi of lip,Melanocytic nevi of lip
D221,0,D2210,"Melanocytic nevi of unspecified eyelid, including canthus","Melanocytic nevi of unspecified eyelid, including canthus"
D221,1,D2211,"Melanocytic nevi of right eyelid, including canthus","Melanocytic nevi of right eyelid, including canthus"
D221,2,D2212,"Melanocytic nevi of left eyelid, including canthus","Melanocytic nevi of left eyelid, including canthus"
D222,0,D2220,Melanocytic nevi of unsp ear and external auricular canal,Melanocytic nevi of unspecified ear and external auricular canal
D222,1,D2221,Melanocytic nevi of right ear and external auricular canal,Melanocytic nevi of right ear and external auricular canal
D222,2,D2222,Melanocytic nevi of left ear and external auricular canal,Melanocytic nevi of left ear and external auricular canal
D223,0,D2230,Melanocytic nevi of unspecified part of face,Melanocytic nevi of unspecified part of face
D223,9,D2239,Melanocytic nevi of other parts of face,Melanocytic nevi of other parts of face
D224,,D224,Melanocytic nevi of scalp and neck,Melanocytic nevi of scalp and neck
D225,,D225,Melanocytic nevi of trunk,Melanocytic nevi of trunk
D226,0,D2260,"Melanocytic nevi of unsp upper limb, including shoulder","Melanocytic nevi of unspecified upper limb, including shoulder"
D226,1,D2261,"Melanocytic nevi of right upper limb, including shoulder","Melanocytic nevi of right upper limb, including shoulder"
D226,2,D2262,"Melanocytic nevi of left upper limb, including shoulder","Melanocytic nevi of left upper limb, including shoulder"
D227,0,D2270,"Melanocytic nevi of unspecified lower limb, including hip","Melanocytic nevi of unspecified lower limb, including hip"
D227,1,D2271,"Melanocytic nevi of right lower limb, including hip","Melanocytic nevi of right lower limb, including hip"
D227,2,D2272,"Melanocytic nevi of left lower limb, including hip","Melanocytic nevi of left lower limb, including hip"
D229,,D229,"Melanocytic nevi, unspecified","Melanocytic nevi, unspecified"
D23,0,D230,Other benign neoplasm of skin of lip,Other benign neoplasm of skin of lip
D231,0,D2310,"Oth benign neoplasm skin/ unsp eyelid, including canthus","Other benign neoplasm of skin of unspecified eyelid, including canthus"
D231,1,D2311,"Oth benign neoplasm skin/ right eyelid, including canthus","Other benign neoplasm of skin of right eyelid, including canthus"
D231,2,D2312,"Oth benign neoplasm skin/ left eyelid, including canthus","Other benign neoplasm of skin of left eyelid, including canthus"
D232,0,D2320,Oth benign neoplasm skin/ unsp ear and external auric canal,Other benign neoplasm of skin of unspecified ear and external auricular canal
D232,1,D2321,Oth benign neoplasm skin/ right ear and external auric canal,Other benign neoplasm of skin of right ear and external auricular canal
D232,2,D2322,Oth benign neoplasm skin/ left ear and external auric canal,Other benign neoplasm of skin of left ear and external auricular canal
D233,0,D2330,Other benign neoplasm of skin of unspecified part of face,Other benign neoplasm of skin of unspecified part of face
D233,9,D2339,Other benign neoplasm of skin of other parts of face,Other benign neoplasm of skin of other parts of face
D234,,D234,Other benign neoplasm of skin of scalp and neck,Other benign neoplasm of skin of scalp and neck
D235,,D235,Other benign neoplasm of skin of trunk,Other benign neoplasm of skin of trunk
D236,0,D2360,"Oth benign neoplasm skin/ unsp upper limb, inc shoulder","Other benign neoplasm of skin of unspecified upper limb, including shoulder"
D236,1,D2361,"Oth benign neoplasm skin/ right upper limb, inc shoulder","Other benign neoplasm of skin of right upper limb, including shoulder"
D236,2,D2362,"Oth benign neoplasm skin/ left upper limb, inc shoulder","Other benign neoplasm of skin of left upper limb, including shoulder"
D237,0,D2370,"Oth benign neoplasm skin/ unsp lower limb, including hip","Other benign neoplasm of skin of unspecified lower limb, including hip"
D237,1,D2371,"Oth benign neoplasm skin/ right lower limb, including hip","Other benign neoplasm of skin of right lower limb, including hip"
D237,2,D2372,"Oth benign neoplasm skin/ left lower limb, including hip","Other benign neoplasm of skin of left lower limb, including hip"
D239,,D239,"Other benign neoplasm of skin, unspecified","Other benign neoplasm of skin, unspecified"
D24,1,D241,Benign neoplasm of right breast,Benign neoplasm of right breast
D24,2,D242,Benign neoplasm of left breast,Benign neoplasm of left breast
D24,9,D249,Benign neoplasm of unspecified breast,Benign neoplasm of unspecified breast
D25,0,D250,Submucous leiomyoma of uterus,Submucous leiomyoma of uterus
D25,1,D251,Intramural leiomyoma of uterus,Intramural leiomyoma of uterus
D25,2,D252,Subserosal leiomyoma of uterus,Subserosal leiomyoma of uterus
D25,9,D259,"Leiomyoma of uterus, unspecified","Leiomyoma of uterus, unspecified"
D26,0,D260,Other benign neoplasm of cervix uteri,Other benign neoplasm of cervix uteri
D26,1,D261,Other benign neoplasm of corpus uteri,Other benign neoplasm of corpus uteri
D26,7,D267,Other benign neoplasm of other parts of uterus,Other benign neoplasm of other parts of uterus
D26,9,D269,"Other benign neoplasm of uterus, unspecified","Other benign neoplasm of uterus, unspecified"
D27,0,D270,Benign neoplasm of right ovary,Benign neoplasm of right ovary
D27,1,D271,Benign neoplasm of left ovary,Benign neoplasm of left ovary
D27,9,D279,Benign neoplasm of unspecified ovary,Benign neoplasm of unspecified ovary
D28,0,D280,Benign neoplasm of vulva,Benign neoplasm of vulva
D28,1,D281,Benign neoplasm of vagina,Benign neoplasm of vagina
D28,2,D282,Benign neoplasm of uterine tubes and ligaments,Benign neoplasm of uterine tubes and ligaments
D28,7,D287,Benign neoplasm of other specified female genital organs,Benign neoplasm of other specified female genital organs
D28,9,D289,"Benign neoplasm of female genital organ, unspecified","Benign neoplasm of female genital organ, unspecified"
D29,0,D290,Benign neoplasm of penis,Benign neoplasm of penis
D29,1,D291,Benign neoplasm of prostate,Benign neoplasm of prostate
D292,0,D2920,Benign neoplasm of unspecified testis,Benign neoplasm of unspecified testis
D292,1,D2921,Benign neoplasm of right testis,Benign neoplasm of right testis
D292,2,D2922,Benign neoplasm of left testis,Benign neoplasm of left testis
D293,0,D2930,Benign neoplasm of unspecified epididymis,Benign neoplasm of unspecified epididymis
D293,1,D2931,Benign neoplasm of right epididymis,Benign neoplasm of right epididymis
D293,2,D2932,Benign neoplasm of left epididymis,Benign neoplasm of left epididymis
D294,,D294,Benign neoplasm of scrotum,Benign neoplasm of scrotum
D298,,D298,Benign neoplasm of other specified male genital organs,Benign neoplasm of other specified male genital organs
D299,,D299,"Benign neoplasm of male genital organ, unspecified","Benign neoplasm of male genital organ, unspecified"
D300,0,D3000,Benign neoplasm of unspecified kidney,Benign neoplasm of unspecified kidney
D300,1,D3001,Benign neoplasm of right kidney,Benign neoplasm of right kidney
D300,2,D3002,Benign neoplasm of left kidney,Benign neoplasm of left kidney
D301,0,D3010,Benign neoplasm of unspecified renal pelvis,Benign neoplasm of unspecified renal pelvis
D301,1,D3011,Benign neoplasm of right renal pelvis,Benign neoplasm of right renal pelvis
D301,2,D3012,Benign neoplasm of left renal pelvis,Benign neoplasm of left renal pelvis
D302,0,D3020,Benign neoplasm of unspecified ureter,Benign neoplasm of unspecified ureter
D302,1,D3021,Benign neoplasm of right ureter,Benign neoplasm of right ureter
D302,2,D3022,Benign neoplasm of left ureter,Benign neoplasm of left ureter
D303,,D303,Benign neoplasm of bladder,Benign neoplasm of bladder
D304,,D304,Benign neoplasm of urethra,Benign neoplasm of urethra
D308,,D308,Benign neoplasm of other specified urinary organs,Benign neoplasm of other specified urinary organs
D309,,D309,"Benign neoplasm of urinary organ, unspecified","Benign neoplasm of urinary organ, unspecified"
D310,0,D3100,Benign neoplasm of unspecified conjunctiva,Benign neoplasm of unspecified conjunctiva
D310,1,D3101,Benign neoplasm of right conjunctiva,Benign neoplasm of right conjunctiva
D310,2,D3102,Benign neoplasm of left conjunctiva,Benign neoplasm of left conjunctiva
D311,0,D3110,Benign neoplasm of unspecified cornea,Benign neoplasm of unspecified cornea
D311,1,D3111,Benign neoplasm of right cornea,Benign neoplasm of right cornea
D311,2,D3112,Benign neoplasm of left cornea,Benign neoplasm of left cornea
D312,0,D3120,Benign neoplasm of unspecified retina,Benign neoplasm of unspecified retina
D312,1,D3121,Benign neoplasm of right retina,Benign neoplasm of right retina
D312,2,D3122,Benign neoplasm of left retina,Benign neoplasm of left retina
D313,0,D3130,Benign neoplasm of unspecified choroid,Benign neoplasm of unspecified choroid
